RI must not be shipped blah blah blah
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Oreskos Sun Guide","Born of the Gods","C","22","White","Near Mint","2"
"Aurora Eidolon","Dissension","C","1","White","Near Mint","1"
"Rotlung Reanimator","Onslaught","R","164","Black","Near Mint","1"
"Pair o' Dice Lost","Unfinity","U","149","Green","Near Mint","1"
"Fling","Planechase Anthology","C","44","Red","Near Mint","1"
"Doomed Traveler","Commander Legends","C","19","White","Near Mint","1"
"Fangorn Forest - Yavimaya, Cradle of Growth","Commander: The Lord of the Rings: Tales of Middle-earth","M","377","Colorless","Near Mint","1"
"Lord of the Nazgul (Extended Art)","Commander: The Lord of the Rings: Tales of Middle-earth","R","142","Black;Blue","Near Mint","1"
"Elspeth's Talent","Commander: March of the Machine","R","72","White","Near Mint","1"
"Boros Garrison","Commander: Phyrexia: All Will Be One","U","146","Colorless","Near Mint","1"
"Rip Apart","Commander: Phyrexia: All Will Be One","U","124","Red;White","Near Mint","2"
"Slayers' Stronghold","Commander: Phyrexia: All Will Be One","R","165","Colorless","Near Mint","1"
"White Sun's Zenith","Commander: Phyrexia: All Will Be One","R","90","White","Near Mint","1"
"Jasmine Boreal of the Seven","Commander: Dominaria United","U","33","Green;White","Near Mint","1"
"Temple of Enlightenment","Commander: Kamigawa: Neon Dynasty","R","180","Colorless","Near Mint","1"
"Grave Endeavor (Extended Art)","Commander: Adventures in the Forgotten Realms","R","293","Black","Near Mint","1"
"Slither Blade","Commander: Zendikar Rising","C","36","Blue","Near Mint","1"
"Cataclysmic Gearhulk","Commander 2020","M","80","White","Near Mint","1"
"Deflecting Swat","Commander 2020","R","50","Red","Near Mint","1"
"Force of Negation (Borderless)","Double Masters 2022","R","346","Blue","Near Mint","1"
"Lightning Greaves (Borderless)","Double Masters","R","360","Colorless","Near Mint","1"
"Rugged Highlands","Eternal Masters","C","243","Colorless","Near Mint","1"
"Esper Sentinel (Showcase)","Modern Horizons 2","R","328","Colorless","Near Mint","1"
"Ignoble Hierarch (Showcase)","Modern Horizons 2","R","355","Green","Near Mint","1"
"Sunbaked Canyon","Modern Horizons","R","247","Colorless","Near Mint","1"
"Sylvan Library (Borderless)","Dominaria Remastered","M","441","Green","Near Mint","1"
"Dawn of a New Age","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","5","White","Near Mint","1"
"Delighted Halfling","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","158","Green","Near Mint","1"
"Delighted Halfling (Extended Art)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","363","Green","Near Mint","2"
"Glamdring (Extended Art)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","376","Colorless","Near Mint","1"
"Choked Estuary","Universes Beyond: Warhammer 40,000","R","268","Colorless","Near Mint","1"
"Exotic Orchard","Universes Beyond: Warhammer 40,000","R","278","Colorless","Near Mint","1"
"Ravener","Universes Beyond: Warhammer 40,000","R","138","Blue;Green","Near Mint","1"
"Screamer-Killer","Universes Beyond: Warhammer 40,000","R","84","Red","Near Mint","1"
"Demonic Consultation","Secret Lair Drop Series","R","1127","Black","Near Mint","1"
"Veil of Summer","Secret Lair Drop Series","R","1024","Green","Near Mint","1"
"Havengul Laboratory","SLX Cards","R","9","Colorless","Near Mint","1"
"Deathrite Shaman","Secret Lair: 30th Anniversary Countdown Kit","R","2012","Black;Green","Near Mint","1"
"Steel Seraph","The Brothers' War","R","38","White","Lightly Played","1"
"Forest (302) - JP Full Art","Kamigawa: Neon Dynasty","L","302","Colorless","Lightly Played","1"
"Dracula the Voyager - Edgar, Charmed Groom","Innistrad: Crimson Vow","R","341","Black;White","Lightly Played","1"
"The Deck of Many Things","Adventures in the Forgotten Realms","M","241","Colorless","Lightly Played","1"
"Quandrix Command","Strixhaven: School of Mages","R","217","Blue;Green","Lightly Played","1"
"Unleash Fury","Core Set 2021","U","170","Red","Lightly Played","1"
"Pouncing Shoreshark (Showcase)","Ikoria: Lair of Behemoths","U","285","Blue","Lightly Played","1"
"Expansion // Explosion","Guilds of Ravnica","R","224","Blue;Red","Lightly Played","1"
"Forest (279)","Ixalan","L","279","Colorless","Lightly Played","1"
"Kefnet's Monument","Amonkhet","U","231","Colorless","Lightly Played","1"
"Vampire Cutthroat","Eldritch Moon","U","110","Black","Lightly Played","1"
"Wastes (184) - Full Art","Oath of the Gatewatch","L","184","Colorless","Lightly Played","1"
"Gruesome Slaughter","Battle for Zendikar","R","9","Colorless","Lightly Played","1"
"Impact Tremors","Dragons of Tarkir","C","140","Red","Lightly Played","1"
"Ojutai's Command","Dragons of Tarkir","R","227","Blue;White","Lightly Played","1"
"Bearer of the Heavens","Journey Into Nyx","R","89","Red","Lightly Played","1"
"Boundless Realms","Magic 2013 (M13)","R","162","Green","Lightly Played","1"
"Thought Scour","Dark Ascension","C","52","Blue","Lightly Played","1"
"Brass Squire","Mirrodin Besieged","U","101","Colorless","Lightly Played","1"
"Core Prowler","Mirrodin Besieged","U","103","Colorless","Lightly Played","2"
"Twincast","Magic 2010 (M10)","R","78","Blue","Lightly Played","1"
"Architects of Will","Alara Reborn","C","17","Black;Blue","Lightly Played","1"
"Oyobi, Who Split the Heavens","Betrayers of Kamigawa","R","18","White","Lightly Played","1"
"Retract","Darksteel","R","32","Blue","Lightly Played","1"
"Seedborn Muse","Legions","R","138","Green","Lightly Played","1"
"Arcanis the Omnipotent","Onslaught","R","","Blue","Lightly Played","1"
"Stag Beetle","Onslaught","R","285","Green","Lightly Played","1"
"Forgotten Lore","Ice Age","U","","Green","Lightly Played","1"
"Goblin Chirurgeon (Foglio)","Fallen Empires","C","","Red","Lightly Played","1"
"Swamp (237) (Borderless)","Unfinity","L","237","Colorless","Lightly Played","1"
"Wellwisher","Commander Anthology","C","166","Green","Lightly Played","1"
"Stolen Strategy","Commander Legends: Battle for Baldur's Gate","R","807","Red","Lightly Played","1"
"Grasslands","Commander 2017","U","252","Colorless","Lightly Played","1"
"Ancient Excavation","Commander 2016","U","27","Black;Blue","Lightly Played","1"
"Grand Abolisher","Commander 2014","R","74","White","Lightly Played","1"
"Ob Nixilis of the Black Oath","Commander 2014","M","27","Black","Lightly Played","2"
"Sylvan Safekeeper","Commander 2014","R","217","Green","Lightly Played","1"
"Fallen Shinobi","Modern Horizons","R","199","Black;Blue","Lightly Played","1"
"Ranger-Captain of Eos","Modern Horizons","M","21","White","Lightly Played","1"
"Decimate","Dominaria Remastered","R","188","Green;Red","Lightly Played","1"
"Spark Trooper","Guilds of Ravnica: Guild Kits","R","94","Red;White","Lightly Played","1"
"Tolsimir Wolfblood","Guilds of Ravnica: Guild Kits","R","121","Green;White","Lightly Played","1"
"Mind Stone","Duel Decks: Zendikar vs. Eldrazi","U","65","Colorless","Lightly Played","1"
"Spectral Procession","Magic Modern Event Deck","U","","White","Lightly Played","2"
"An Offer You Can't Refuse","Promo Pack: Streets of New Capenna","U","464","Blue","Lightly Played","1"
"Kiora's Follower","Born of the Gods","U","150","Blue;Green","Moderately Played","2"
"Enter the Infinite","Gatecrash","M","34","Blue","Moderately Played","1"
"Llanowar Elves","10th Edition","C","274","Green","Moderately Played","1"
"Frogmite","Mirrodin","C","172","Colorless","Moderately Played","2"
"Myr Enforcer","Mirrodin","C","211","Colorless","Moderately Played","3"
"Urza's Tower","8th Edition","U","330","Colorless","Moderately Played","1"
"Dreamborn Muse","Legions","R","","Blue","Moderately Played","1"
"Plated Sliver","Legions","C","","White","Moderately Played","3"
"Aphetto Alchemist","Onslaught","U","","Blue","Moderately Played","1"
"Skirk Fire Marshal","Onslaught","R","","Red","Moderately Played","1"
"Tempting Wurm","Onslaught","R","","Green","Moderately Played","1"
"Wirewood Lodge","Onslaught","U","329","","Moderately Played","1"
"Nut Collector","Odyssey","R","","Green","Moderately Played","1"
"Swamp","Unstable","L","214","Colorless","Moderately Played","1"
"Sakura-Tribe Elder","Conspiracy","C","177","Green","Moderately Played","1"
"Monastery Siege","Commander 2017","R","88","Blue","Moderately Played","1"
"Faithless Looting","Dark Ascension","C","87","Red","Heavily Played","1"
"Ivory Mask","Mercadian Masques","R","","White","Heavily Played","1"
"Pile On (Extended Art)","March of the Machine","R","361","Black","Near Mint Foil","1"
"Swamp (0287)","March of the Machine","L","287","Colorless","Near Mint Foil","1"
"Transcendent Message","March of the Machine","R","83","Blue","Near Mint Foil","1"
"Terramorphic Expanse","Phyrexia: All Will Be One","C","261","Colorless","Near Mint Foil","1"
"Corpse Explosion (Extended Art)","Streets of New Capenna","R","435","Black;Red","Near Mint Foil","1"
"Reclusive Taxidermist","Innistrad: Crimson Vow","U","214","Green","Near Mint Foil","1"
"Demonic Tutor","Strixhaven: Mystical Archives","M","27","Black","Near Mint Foil","1"
"Omnath, Locus of Creation","Zendikar Rising","M","232","Blue;Green;Red;White","Near Mint Foil","1"
"Zareth San, the Trickster","Zendikar Rising","R","242","Black;Blue","Near Mint Foil","1"
"Folio of Fancies (Extended Art)","Throne of Eldraine","R","343","Blue","Near Mint Foil","1"
"Thraben Foulbloods","Eldritch Moon","C","108","Black","Near Mint Foil","1"
"Force Away","Khans of Tarkir","C","40","Blue","Near Mint Foil","1"
"Agent of the Shadow Thieves (Foil Etched)","Commander Legends: Battle for Baldur's Gate","U","493","Black","Near Mint Foil","1"
"Archivist of Oghma (Extended Art)","Commander Legends: Battle for Baldur's Gate","R","553","White","Near Mint Foil","1"
"Neera, Wild Mage (Foil Etched)","Commander Legends: Battle for Baldur's Gate","R","545","Blue;Red","Near Mint Foil","1"
"Tavern Brawler (Foil Etched)","Commander Legends: Battle for Baldur's Gate","C","511","Red","Near Mint Foil","2"
"Vexing Puzzlebox (Borderless)","Commander Legends: Battle for Baldur's Gate","M","374","Colorless","Near Mint Foil","1"
"Derevi, Empyrial Tactician (Foil Etched)","Commander Legends","M","518","Blue;Green;White","Near Mint Foil","1"
"Gods Willing","Double Masters 2022","C","12","White","Near Mint Foil","1"
"Civic Wayfinder","Eternal Masters","C","161","Green","Near Mint Foil","1"
"Deepwood Denizen","Modern Horizons 2","C","155","Green","Near Mint Foil","3"
"Obsidian Charmaw (Showcase)","Modern Horizons 2","R","353","Red","Near Mint Foil","1"
"Bitter Downfall","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","77","Black","Near Mint Foil","4"
"Friendly Rivalry","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","204","Green;Red","Near Mint Foil","1"
"Strider, Ranger of the North","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","232","Green;Red","Near Mint Foil","1"
"Elder Brain","Prerelease Cards","R","125","Black","Near Mint Foil","1"
"Sun Titan","Secret Lair: 30th Anniversary Countdown Kit","M","2010","White","Near Mint Foil","1"
"Queen Kayla bin-Kroog (Retro Frame) (BRO Bundle)","Unique and Miscellaneous Promos","P","379","Red;White","Near Mint Foil","1"
"Sigarda, Font of Blessings","March of the Machine: The Aftermath","R","47","Green;White","Lightly Played Foil","1"
"Jodah, the Unifier (Textured Foil)","Dominaria United","M","343","Black;Blue;Green;Red;White","Lightly Played Foil","1"
"Junji, the Midnight Sky (Borderless)","Kamigawa: Neon Dynasty","M","409","Black","Lightly Played Foil","1"
"Glaring Spotlight","Gatecrash","R","229","Colorless","Lightly Played Foil","1"
"Prey Upon","Innistrad","C","200","Green","Lightly Played Foil","1"
"Knight of the Reliquary","Conflux","R","113","Green;White","Lightly Played Foil","1"
"Cadira, Caller of the Small","Commander Legends: Battle for Baldur's Gate","U","269","Green;White","Lightly Played Foil","1"
"Evolving Wilds","Commander Legends: Battle for Baldur's Gate","C","352","Colorless","Lightly Played Foil","1"
"Teferi's Protection (Borderless)","Double Masters 2022","R","343","White","Lightly Played Foil","1"
"Wear // Tear","Mystery Booster: Retail Exclusives","U","135","Red;White","Lightly Played Foil","1"
"Knight Exemplar","Media Promos","P","","White","Lightly Played Foil","1"
"Pride Sovereign","Prerelease Cards","R","126","Green","Lightly Played Foil","1"
"Fury Sliver (Extended Art)","Secret Lair Drop Series","R","638","Red","Lightly Played Foil","1"
"Blighted Burgeoning","March of the Machine","C","177","Green","Near Mint","1"
"Elvish Vatkeeper","March of the Machine","U","223","Black;Green","Near Mint","1"
"Grafted Butcher (Extended Art)","March of the Machine","R","359","Black","Near Mint","1"
"Phyrexian Censor","March of the Machine","U","31","White","Near Mint","2"
"Sculpted Perfection","March of the Machine","U","253","Black;White","Near Mint","2"
"Vorinclex (Showcase)","March of the Machine","M","301","Green","Near Mint","1"
"Elesh Norn, Mother of Machines (Phyrexian)","Phyrexia: All Will Be One","M","414","White","Near Mint","1"
"Jor Kadeen, First Goldwarden (Borderless)","Phyrexia: All Will Be One","R","332","Red;White","Near Mint","1"
"Norn's Wellspring","Phyrexia: All Will Be One","R","24","White","Near Mint","1"
"Red Sun's Twilight","Phyrexia: All Will Be One","R","145","Red","Near Mint","1"
"Terramorphic Expanse","Phyrexia: All Will Be One","C","261","Colorless","Near Mint","1"
"Thrun, Breaker of Silence","Phyrexia: All Will Be One","R","186","Green","Near Mint","1"
"Sanctuary Warden","Streets of New Capenna","M","30","White","Near Mint","1"
"Swamp (276)","Streets of New Capenna","L","276","Colorless","Near Mint","1"
"Ziatora's Proving Ground (Borderless)","Streets of New Capenna","R","295","","Near Mint","1"
"Syncopate","Innistrad: Crimson Vow","C","83","Blue","Near Mint","1"
"Jadar, Ghoulcaller of Nephalia (Showcase)","Innistrad: Midnight Hunt","R","315","Black","Near Mint","1"
"Swamp (272)","Innistrad: Midnight Hunt","L","272","Colorless","Near Mint","2"
"Ferocious Tigorilla","Ikoria: Lair of Behemoths","C","115","Red","Near Mint","1"
"Hard Cover","Core Set 2020","U","63","Blue","Near Mint","1"
"Charging Tuskodon","Rivals of Ixalan","U","97","Red","Near Mint","1"
"Deadeye Rig-Hauler","Rivals of Ixalan","C","36","Blue","Near Mint","1"
"Dusk Legion Dreadnought","Ixalan","U","236","Colorless","Near Mint","1"
"Eidolon of the Great Revel","Journey Into Nyx","R","94","Red","Near Mint","1"
"Umbra Mystic","Rise of the Eldrazi","R","52","White","Near Mint","1"
"Warren Instigator","Zendikar","M","154","Red","Near Mint","1"
"Aether Barrier","Nemesis","R","","Blue","Near Mint","1"
"Black Dragon Gate","Commander Legends: Battle for Baldur's Gate","C","347","Colorless","Near Mint","1"
"Cliffgate","Commander Legends: Battle for Baldur's Gate","C","350","Colorless","Near Mint","1"
"Death Kiss (Extended Art)","Commander Legends: Battle for Baldur's Gate","R","629","Red","Near Mint","1"
"Intellect Devourer (Extended Art)","Commander Legends: Battle for Baldur's Gate","R","575","Black","Near Mint","1"
"Brass Squire","Commander Legends","U","460","Colorless","Near Mint","1"
"Fireshrieker","Commander Legends","U","462","Colorless","Near Mint","1"
"Temple of the False God","Commander: Phyrexia: All Will Be One","U","172","Colorless","Near Mint","1"
"Night's Whisper","Commander: Innistrad: Crimson Vow","C","133","Black","Near Mint","1"
"Wood Elves","Commander: Kaldheim","C","80","Green","Near Mint","1"
"Grim Backwoods","Commander 2020","R","278","Colorless","Near Mint","1"
"Loxodon Warhammer","Commander 2017","U","216","Colorless","Near Mint","1"
"Dockside Extortionist (Borderless)","Double Masters 2022","M","360","Red","Near Mint","1"
"Wrenn and Six (Borderless)","Double Masters 2022","M","334","Green;Red","Near Mint","1"
"Magus of the Will","Double Masters","R","98","Black","Near Mint","1"
"Arcbound Tracker","Modern Horizons 2","C","112","Red","Near Mint","1"
"Mind Rake","Modern Horizons","C","96","Black","Near Mint","1"
"Vampiric Tutor (Borderless)","Dominaria Remastered","M","430","Black","Near Mint","1"
"Contagion Clasp","Time Spiral: Remastered","S","391","Colorless","Near Mint","2"
"Stonehorn Dignitary","Time Spiral: Remastered","S","304","White","Near Mint","4"
"Food Token (0010)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","T","10","Colorless","Near Mint","1"
"Mountain (0268)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","L","268","Colorless","Near Mint","2"
"Choked Estuary","Universes Beyond: Warhammer 40,000","R","268","Colorless","Near Mint","1"
"Helbrute","Universes Beyond: Warhammer 40,000","R","125","Black;Red","Near Mint","1"
"Lucius the Eternal","Universes Beyond: Warhammer 40,000","R","130","Black;Red","Near Mint","1"
"Time Sieve","Mystery Booster Cards","R","31","Black;Blue","Near Mint","1"
"The Locust God","Secret Lair Commander: Heads I Win, Tails You Lose","M","219","Blue;Red","Near Mint","1"
"Ambition's Cost","Duel Decks: Nissa vs. Ob Nixilis","U","38","Black","Near Mint","1"
"Unstable Harmonics - Rhystic Study","Secret Lair Drop Series","R","478","Blue","Near Mint","1"
"Hidetsugu, Devouring Chaos","Kamigawa: Neon Dynasty","R","99","Black","Lightly Played","1"
"Swamp (273)","Innistrad: Midnight Hunt","L","273","Colorless","Lightly Played","1"
"Woodland Chasm","Kaldheim","L","274","Colorless","Lightly Played","1"
"Tin Street Dodger","Ravnica Allegiance","U","120","Red","Lightly Played","1"
"Vona, Butcher of Magan","Ixalan","M","231","Black;White","Lightly Played","1"
"Destined // Lead","Amonkhet","U","217","Black;Green","Lightly Played","1"
"Sunscorched Desert","Amonkhet","C","249","Colorless","Lightly Played","1"
"Berserkers' Onslaught","Dragons of Tarkir","R","130","Red","Lightly Played","1"
"Foe-Razer Regent","Dragons of Tarkir","R","187","Green","Lightly Played","1"
"Dismal Backwater","Fate Reforged","C","168","","Lightly Played","1"
"Bile Blight","Born of the Gods","U","61","Black","Lightly Played","1"
"Borborygmos Enraged","Gatecrash","M","147","Green;Red","Lightly Played","1"
"Evernight Shade","Avacyn Restored","U","101","Black","Lightly Played","1"
"Psychic Surgery","New Phyrexia","R","","Blue","Lightly Played","1"
"Horizon Canopy","Future Sight","R","177","Colorless","Lightly Played","1"
"Orzhov Basilica","Guildpact","C","161","","Lightly Played","4"
"Fierce Empath","Scourge","C","119","Green","Lightly Played","1"
"Xantid Swarm","Scourge","R","135","Green","Lightly Played","1"
"Mistform Sliver","Legions","C","","Blue","Lightly Played","1"
"Forgotten Cave","Onslaught","C","317","","Lightly Played","1"
"Goblin Burrows","Onslaught","U","","","Lightly Played","1"
"Goblin Sharpshooter","Onslaught","R","","Red","Lightly Played","1"
"Words of Wilding","Onslaught","R","","Green","Lightly Played","1"
"Psychotic Haze","Torment","C","76","Black","Lightly Played","1"
"Draco","Planeshift","R","131","Colorless","Lightly Played","1"
"Verdeloth the Ancient","Invasion","R","","Green","Lightly Played","1"
"Prodigal Sorcerer","Classic Sixth Edition","C","88","Blue","Lightly Played","1"
"Reconnaissance","Exodus","U","17","White","Lightly Played","1"
"Krark's Other Thumb","Unstable","U","151","Colorless","Lightly Played","1"
"Dragon Token (006)","Commander Anthology","T","6","","Lightly Played","1"
"Stolen Strategy","Commander Legends: Battle for Baldur's Gate","R","807","Red","Lightly Played","1"
"Abundance","Commander: Zendikar Rising","R","58","Green","Lightly Played","1"
"Exotic Orchard","Commander 2016","R","295","Colorless","Lightly Played","1"
"Flusterstorm","Iconic Masters","R","55","Blue","Lightly Played","1"
"Balance","Eternal Masters","M","2","White","Lightly Played","1"
"Deathrite Shaman","Eternal Masters","R","215","Black;Green","Lightly Played","1"
"Izzet Signet","Guilds of Ravnica: Guild Kits","C","46","Colorless","Lightly Played","1"
"Rest in Peace","Return to Ravnica","R","18","White","Moderately Played","1"
"Dispatch","New Phyrexia","U","7","White","Moderately Played","1"
"Voltaic Key","Magic 2011 (M11)","U","219","Colorless","Moderately Played","1"
"Forgotten Ancient","Scourge","R","120","Green","Moderately Played","3"
"Plated Sliver","Legions","C","","White","Moderately Played","2"
"Swamp (342)","Onslaught","L","342","","Moderately Played","1"
"Forest (348)","Invasion","L","348","","Moderately Played","1"
"Sleight of Hand","7th Edition","C","98","Blue","Moderately Played","2"
"Jayemdae Tome","Revised Edition","R","","Colorless","Heavily Played","1"
"Monastery Mentor (Extended Art)","March of the Machine","M","347","White","Near Mint Foil","1"
"Mountain (0288)","March of the Machine","L","288","Colorless","Near Mint Foil","10"
"Vraska's Fall","Phyrexia: All Will Be One","C","116","Black","Near Mint Foil","1"
"Burnished Hart","The Brothers' War: Retro Frame Artifacts","U","8","Colorless","Near Mint Foil","1"
"March of Swirling Mist (Showcase)","Kamigawa: Neon Dynasty","R","372","Blue","Near Mint Foil","1"
"Surgehacker Mech (Showcase)","Kamigawa: Neon Dynasty","R","405","Colorless","Near Mint Foil","1"
"Sorin the Mirthless (Borderless)","Innistrad: Crimson Vow","M","278","Black","Near Mint Foil","1"
"Skemfar Shadowsage","Kaldheim","U","110","Black","Near Mint Foil","1"
"Vexing Puzzlebox (Borderless)","Commander Legends: Battle for Baldur's Gate","M","374","Colorless","Near Mint Foil","1"
"Myojin of Grim Betrayal","Commander: Kamigawa: Neon Dynasty","R","34","Black","Near Mint Foil","1"
"Blossoming Calm (Showcase)","Modern Horizons 2","U","327","White","Near Mint Foil","1"
"Disdainful Stroke","Time Spiral: Remastered","S","307","Blue","Near Mint Foil","1"
"Oswald Fiddlebender","Adventures in the Forgotten Realms","R","28","White","Lightly Played Foil","1"
"Liliana's Reaver","Magic 2014 (M14)","R","103","Black","Lightly Played Foil","1"
"Swamp (Full Art)","Unsanctioned","L","92","Colorless","Lightly Played Foil","3"
"Vraska the Unseen","Duel Decks: Jace vs. Vraska","M","42","Black;Green","Lightly Played Foil","1"
"Skyclave Apparition","Game Day & Store Championship Promos","P","2","White","Lightly Played Foil","1"
"Llanowar Elves","Open House Promos","P","168","Green","Lightly Played Foil","1"
"Morphic Pool","Zendikar Rising Expeditions","M","17","Colorless","Lightly Played Foil","1"
"Arguel's Blood Fast","Buy-A-Box Promos","P","90","Black","Moderately Played Foil","1"
"Verdant Force","Prerelease Cards","R","187","Green","Moderately Played Foil","1"
"Daxos, Blessed by the Sun","March of the Machine: Multiverse Legends","U","2","White","Near Mint","1"
"Blazing Crescendo","Phyrexia: All Will Be One","C","123","Red","Near Mint","1"
"Offer Immortality","Phyrexia: All Will Be One","C","102","Black","Near Mint","2"
"Scheming Aspirant","Phyrexia: All Will Be One","U","107","Black","Near Mint","1"
"Urabrask's Forge (Extended Art)","Phyrexia: All Will Be One","R","387","Red","Near Mint","1"
"Vraan, Executioner Thane (Showcase)","Phyrexia: All Will Be One","R","309","Black","Near Mint","1"
"Zenith Chronicler (Extended Art)","Phyrexia: All Will Be One","R","399","Colorless","Near Mint","2"
"Diabolic Intent","The Brothers' War","R","89","Black","Near Mint","1"
"Liberator, Urza's Battlethopter","The Brothers' War","R","237","Colorless","Near Mint","1"
"Mechanized Warfare","The Brothers' War","R","139","Red","Near Mint","1"
"Misery's Shadow","The Brothers' War","R","107","Black","Near Mint","1"
"The Mightstone and Weakstone","The Brothers' War","R","238","Colorless","Near Mint","1"
"Perilous Vault","The Brothers' War: Retro Frame Artifacts","M","38","Colorless","Near Mint","1"
"Scrap Trawler","The Brothers' War: Retro Frame Artifacts","R","49","Colorless","Near Mint","1"
"Academy Loremaster","Dominaria United","R","40","Blue","Near Mint","1"
"Cut Down","Dominaria United","U","89","Black","Near Mint","1"
"Forest (Showcase)","Dominaria United","L","281","Colorless","Near Mint","1"
"Mountain (Showcase)","Dominaria United","L","280","Colorless","Near Mint","1"
"Sacred Peaks","Dominaria United","L","254","Colorless","Near Mint","1"
"Shivan Devastator","Dominaria United","M","143","Red","Near Mint","1"
"Swamp (Showcase)","Dominaria United","L","279","Colorless","Near Mint","1"
"The Phasing of Zhalfir","Dominaria United","R","59","Blue","Near Mint","1"
"Boseiju, Who Endures","Kamigawa: Neon Dynasty","R","266","","Near Mint","1"
"Kami of Transience","Kamigawa: Neon Dynasty","R","197","Green","Near Mint","1"
"Fleshtaker","Innistrad: Midnight Hunt","U","222","Black;White","Near Mint","1"
"Swamp (272)","Innistrad: Midnight Hunt","L","272","Colorless","Near Mint","1"
"Blink Dog","Adventures in the Forgotten Realms","U","3","White","Near Mint","1"
"Accomplished Alchemist","Strixhaven: School of Mages","R","119","Green","Near Mint","1"
"Explosive Welcome","Strixhaven: School of Mages","U","100","Red","Near Mint","1"
"Demonic Tutor","Strixhaven: Mystical Archives","M","27","Black","Near Mint","1"
"Bearded Axe","Kaldheim","U","388","Red","Near Mint","1"
"Human Warrior Token","Kaldheim","T","3","","Near Mint","1"
"Valki, God of Lies (Borderless)","Kaldheim","M","286","Black","Near Mint","1"
"Inscription of Ruin","Zendikar Rising","R","108","Black","Near Mint","1"
"Taborax, Hope's Demise (Extended Art)","Zendikar Rising","R","346","Black","Near Mint","1"
"Igneous Cur","Core Set 2021","C","153","Red","Near Mint","1"
