Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Phanpy","Neo Destiny","Common","076/105","","Lightly Played Unlimited","1"
"Porygon","Neo Destiny","Common","078/105","","Lightly Played Unlimited","1"
"Piloswine","Neo Revelation","Uncommon","36/64","","Lightly Played Unlimited","1"
"Quagsire","Neo Revelation","Common","48/64","","Lightly Played Unlimited","1"
"Cubone","Base Set 2","Common","070/130","","Lightly Played","1"
"Nidorino","Base Set (Shadowless)","Uncommon","037/102","","Lightly Played 1st Edition","1"
"Full Heal","Base Set","Uncommon","082/102","","Lightly Played","1"
"Cleffa","WoTC Promo","Promo","31/53","","Lightly Played","1"
"Mewtwo (Movie Promo)","WoTC Promo","Promo","03/53","","Lightly Played","1"
"Scyther","WoTC Promo","Promo","45/53","","Lightly Played","1"
"Tapu Lele","SM - Ultra Prism","Rare","94/156","","Moderately Played","1"
"Porygon","XY - Ancient Origins","Common","64/98","","Moderately Played","1"
"Double Colorless Energy","XY - Phantom Forces","Uncommon","111/119","","Moderately Played","3"
"Houndour","Dragons Exalted","Common","74/124","","Moderately Played","1"
"Timburr (58)","Black and White","Common","58/114","","Moderately Played","1"
"Timburr (59)","Black and White","Common","59/114","","Moderately Played","1"
"Beautifly","Platinum","Rare","021/127","","Moderately Played","1"
"Arbok","Great Encounters","Uncommon","033/106","","Moderately Played","1"
"Darkness Energy","Diamond and Pearl","Common","129/130","","Moderately Played","1"
"Grotle","Diamond and Pearl","Uncommon","049/130","","Moderately Played","1"
"Machop","Power Keepers","Common","053/108","","Moderately Played","1"
"Ivysaur - 035/100","Crystal Guardians","Uncommon","035/100","","Moderately Played","1"
"Squirtle - 063/100","Crystal Guardians","Common","063/100","","Moderately Played","1"
"Krabby","FireRed & LeafGreen","Common","066/112","","Moderately Played","1"
"Corphish - 052/097","Dragon","Common","052/097","","Moderately Played","1"
"Blastoise (37)","Expedition","Rare","037/165","","Moderately Played","1"
"Magikarp","Base Set 2","Uncommon","050/130","","Moderately Played","1"
"Onix","Base Set 2","Common","084/130","","Moderately Played","1"
"Voltorb","Base Set","Common","067/102","","Moderately Played","1"
"Scizor","WoTC Promo","Promo","33/53","","Moderately Played","1"
"Duosion","Plasma Blast","Uncommon","43/101","","Near Mint Reverse Holofoil","1"
"Eevee - SWSH127","SWSH: Sword & Shield Promo Cards","Promo","SWSH127","","Near Mint Holofoil","1"
"Eevee - SWSH175","SWSH: Sword & Shield Promo Cards","Promo","SWSH175","","Near Mint Holofoil","1"
"Eiscue - SWSH128","SWSH: Sword & Shield Promo Cards","Promo","SWSH128","","Near Mint Holofoil","1"
"Broken Time-Space - 104/127 (League Promo)","League & Championship Cards","Promo","104/127","","Near Mint Reverse Holofoil","4"
"Dragonite - 119/181 (Cosmos Holo)","Miscellaneous Cards & Products","Promo","119/181","","Near Mint Holofoil","1"
"Drampa","SWSH01: Sword & Shield Base Set","Rare","149/202","","Lightly Played Reverse Holofoil","2"
"Dugtrio","SM - Unbroken Bonds","Rare","86/214","","Lightly Played Reverse Holofoil","1"
"Tynamo","SM - Burning Shadows","Common","44/147","","Lightly Played Reverse Holofoil","1"
"Gothorita","Boundaries Crossed","Uncommon","76/149","","Lightly Played Reverse Holofoil","1"
"Hisuian Arcanine","SWSH10: Astral Radiance","Rare","071/189","","Moderately Played Reverse Holofoil","1"
"Eevee (48)","Hidden Fates","Holo Rare","48/68","","Moderately Played Holofoil","1"
"Alakazam","Mysterious Treasures","Holo Rare","002/123","","Moderately Played Holofoil","1"
"Tyranitar - 30/100 (DP Stormfront)","Deck Exclusives","Holo Rare","030/100","","Moderately Played Holofoil","1"
"Shiftry - XY23","XY Promos","Promo","XY23","","Moderately Played Holofoil","1"
"Snorlax - XY179","XY Promos","Promo","XY179","","Moderately Played Holofoil","1"
