Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Accomplished Alchemist","Strixhaven: School of Mages","R","119","Green","Near Mint","1"
"Explosive Welcome","Strixhaven: School of Mages","U","100","Red","Near Mint","1"
"Demonic Tutor","Strixhaven: Mystical Archives","M","27","Black","Near Mint","1"
"Bearded Axe","Kaldheim","U","388","Red","Near Mint","1"
"Human Warrior Token","Kaldheim","T","3","","Near Mint","1"
"Valki, God of Lies (Borderless)","Kaldheim","M","286","Black","Near Mint","1"
"Inscription of Ruin","Zendikar Rising","R","108","Black","Near Mint","1"
"Taborax, Hope's Demise (Extended Art)","Zendikar Rising","R","346","Black","Near Mint","1"
"Igneous Cur","Core Set 2021","C","153","Red","Near Mint","1"
"Heliod's Intervention","Theros Beyond Death","R","19","White","Near Mint","1"
"Inevitable End","Theros Beyond Death","U","102","Black","Near Mint","1"
"Satyr Token","Theros Beyond Death","T","9","","Near Mint","4"
"Gingerbrute","Throne of Eldraine","C","219","Colorless","Near Mint","3"
"Heraldic Banner","Throne of Eldraine","U","222","Colorless","Near Mint","1"
"Mystic Sanctuary","Throne of Eldraine","C","247","Colorless","Near Mint","1"
"Deathsprout","War of the Spark","U","189","Black;Green","Near Mint","2"
"God-Pharaoh's Statue","War of the Spark","U","238","Colorless","Near Mint","1"
"Neoform","War of the Spark","U","206","Blue;Green","Near Mint","1"
"Foul Orchard","Core Set 2019","C","251","Colorless","Near Mint","1"
"Prodigious Growth","Core Set 2019","R","194","Green","Near Mint","1"
"Remorseful Cleric","Core Set 2019","R","33","White","Near Mint","1"
"Skyscanner","Core Set 2019","C","245","Colorless","Near Mint","1"
"Combat Celebrant","Amonkhet","M","125","Red","Near Mint","1"
"Topan Freeblade","Magic Origins","C","36","White","Near Mint","1"
"Gudul Lurker","Dragons of Tarkir","U","56","Blue","Near Mint","1"
"Debt to the Deathless","Dragon's Maze","U","64","Black;White","Near Mint","2"
"Progenitor Mimic","Dragon's Maze","M","92","Blue;Green","Near Mint","2"
"Furyborn Hellkite","Magic 2012 (M12)","M","135","Red","Near Mint","1"
"Ferris Wheel (4-5-6)","Unfinity","R","210","Colorless","Near Mint","1"
"Elturel Survivors","Commander Legends: Battle for Baldur's Gate","R","172","Red","Near Mint","1"
"Mirror of Life Trapping","Commander Legends: Battle for Baldur's Gate","R","326","Colorless","Near Mint","1"
"Assemble the Legion","Commander: Phyrexia: All Will Be One","R","115","Red;White","Near Mint","1"
"Chain Reaction","Commander: Phyrexia: All Will Be One","R","97","Red","Near Mint","1"
"Exotic Orchard","Commander: Phyrexia: All Will Be One","R","152","Colorless","Near Mint","1"
"Loxodon Warhammer","Commander: Phyrexia: All Will Be One","R","135","Colorless","Near Mint","1"
"Rip Apart","Commander: Phyrexia: All Will Be One","U","124","Red;White","Near Mint","1"
"Soul-Guide Lantern","Commander: Phyrexia: All Will Be One","U","142","Colorless","Near Mint","5"
"Millicent, Restless Revenant","Commander: Innistrad: Crimson Vow","M","1","Blue;White","Near Mint","1"
"Diviner's Portent (Extended Art)","Commander: Adventures in the Forgotten Realms","R","284","Blue","Near Mint","2"
"Grim Hireling (Extended Art)","Commander: Adventures in the Forgotten Realms","R","294","Black","Near Mint","1"
"Fiery Encore","Commander 2021","R","51","Red","Near Mint","1"
"Inferno Project","Commander 2021","R","52","Red","Near Mint","1"
"Living Twister","Commander: Zendikar Rising","R","93","Green;Red","Near Mint","1"
"Shared Animosity","Commander 2020","R","158","Red","Near Mint","1"
"Beacon of Unrest","Commander 2019","R","105","Black","Near Mint","1"
"Assassin's Trophy (Borderless)","Double Masters 2022","R","372","Black;Green","Near Mint","1"
"Dragon Arch","Double Masters 2022","U","305","Colorless","Near Mint","1"
"Gravecrawler","Double Masters 2022","R","78","Black","Near Mint","1"
"Jodah, Archmage Eternal","Double Masters 2022","R","233","Blue;Red;White","Near Mint","1"
"Monastery Swiftspear","Double Masters 2022","C","119","Red","Near Mint","1"
"Supernatural Stamina","Double Masters 2022","C","93","Black","Near Mint","1"
"Buried Ruin","Double Masters","U","312","Colorless","Near Mint","1"
"Cyclonic Rift (Borderless)","Double Masters","R","339","Blue","Near Mint","1"
"Fatal Push (Borderless)","Double Masters","R","343","Black","Near Mint","1"
"Noble Hierarch (Borderless)","Double Masters","R","352","Green","Near Mint","1"
"Tuktuk the Explorer","Double Masters","R","149","Red","Near Mint","1"
"Urza's Power Plant","Double Masters","C","330","","Near Mint","1"
"Magus of the Bazaar","Ultimate Masters","R","63","Blue","Near Mint","1"
"Wall of Reverence","Ultimate Masters","R","41","White","Near Mint","1"
"Orcish Oriflamme","Eternal Masters","C","140","Red","Near Mint","1"
"Recover","Modern Masters 2017","C","82","Black","Near Mint","1"
"Ragavan, Nimble Pilferer (Borderless)","Modern Horizons 2","M","315","Red","Near Mint","1"
"Force of Will (Borderless)","Dominaria Remastered","M","418","Blue","Near Mint","1"
"Shivan Dragon","Dominaria Remastered","R","135","Red","Near Mint","1"
"Intangible Virtue","Time Spiral: Remastered","S","295","White","Near Mint","1"
"Leveler","Time Spiral: Remastered","S","397","Colorless","Near Mint","1"
"Life and Limb","Time Spiral: Remastered","R","215","Green","Near Mint","1"
"Lingering Souls","Time Spiral: Remastered","S","296","White","Near Mint","1"
"Molten Rain","Time Spiral: Remastered","S","348","Red","Near Mint","4"
"Simian Spirit Guide","Time Spiral: Remastered","C","190","Red","Near Mint","1"
"Delighted Halfling (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","402","Green","Near Mint","1"
"Gandalf the White (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","442","White","Near Mint","1"
"Glamdring","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","239","Colorless","Near Mint","1"
"War of the Last Alliance","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","36","White","Near Mint","1"
"Birth of the Imperium","Universes Beyond: Warhammer 40,000","R","107","Black;Blue;White","Near Mint","1"
"Exterminatus","Universes Beyond: Warhammer 40,000","R","120","Black;White","Near Mint","1"
"Skycloud Expanse","Universes Beyond: Warhammer 40,000","R","294","Colorless","Near Mint","1"
"Leechridden Swamp","Duel Decks: Nissa vs. Ob Nixilis","U","65","Colorless","Near Mint","2"
"Monk Token","Dominaria United","T","14","Red","Lightly Played","1"
"Tenacious Underdog","Streets of New Capenna","R","97","Black","Lightly Played","2"
"Forest (301) - JP Full Art","Kamigawa: Neon Dynasty","L","301","Colorless","Lightly Played","1"
"Mountain (300) - JP Full Art","Kamigawa: Neon Dynasty","L","300","Colorless","Lightly Played","1"
"Scrap Welder (Showcase)","Kamigawa: Neon Dynasty","R","388","Red","Lightly Played","1"
"Adeline, Resplendent Cathar","Innistrad: Midnight Hunt","R","1","White","Lightly Played","1"
"Arlinn, the Pack's Hope (Showcase)","Innistrad: Midnight Hunt","M","307","Green;Red","Lightly Played","1"
"Eliminate","Core Set 2021","U","97","Black","Lightly Played","1"
"Ranger's Guile","Core Set 2021","C","199","Green","Lightly Played","1"
"Angel of Vitality","Core Set 2020","U","4","White","Lightly Played","1"
"Cruel Celebrant","War of the Spark","U","188","Black;White","Lightly Played","2"
"Electrostatic Field","Guilds of Ravnica","U","97","Red","Lightly Played","2"
"Golgari Guildgate (248)","Guilds of Ravnica","C","248","Colorless","Lightly Played","1"
"Murmuring Mystic","Guilds of Ravnica","U","45","Blue","Lightly Played","1"
"Gift of Paradise","Amonkhet","C","167","Green","Lightly Played","1"
"Ruins of Oran-Rief","Oath of the Gatewatch","R","176","Colorless","Lightly Played","1"
"Explosive Vegetation","Dragons of Tarkir","U","186","Green","Lightly Played","1"
"Merciless Executioner","Fate Reforged","U","76","Black","Lightly Played","1"
"Soulfire Grand Master","Fate Reforged","M","27","White","Lightly Played","1"
"Dauntless River Marshal","Magic 2015 (M15)","U","8","White","Lightly Played","1"
"Deadbridge Chant","Dragon's Maze","M","63","Black;Green","Lightly Played","1"
"Debt to the Deathless","Dragon's Maze","U","64","Black;White","Lightly Played","2"
"Master of Cruelties","Dragon's Maze","M","82","Black;Red","Lightly Played","3"
"Possibility Storm","Dragon's Maze","R","34","Red","Lightly Played","1"
"Progenitor Mimic","Dragon's Maze","M","92","Blue;Green","Lightly Played","1"
"Ral Zarek","Dragon's Maze","M","94","Blue;Red","Lightly Played","2"
"Voice of Resurgence","Dragon's Maze","M","114","Green;White","Lightly Played","1"
"Wear // Tear","Dragon's Maze","U","135","Red;White","Lightly Played","1"
"Martial Law","Return to Ravnica","R","14","White","Lightly Played","1"
"Angel of Flight Alabaster","Innistrad","R","2","White","Lightly Played","1"
"Rot Wolf","Mirrodin Besieged","C","90","Green","Lightly Played","1"
"Glimmerpost","Scars of Mirrodin","C","","Colorless","Lightly Played","1"
"Consuming Bonfire","Lorwyn","C","","Red","Lightly Played","1"
"Entangling Trap","Lorwyn","U","","White","Lightly Played","1"
"Flamekin Bladewhirl","Lorwyn","U","165","Red","Lightly Played","1"
"Hillcomber Giant","Lorwyn","C","","White","Lightly Played","1"
"Mournwhelk","Lorwyn","C","","Black","Lightly Played","1"
"Sentinels of Glen Elendra","Lorwyn","C","","Blue","Lightly Played","1"
"Yavimaya Enchantress","10th Edition","U","310","Green","Lightly Played","1"
"Skred","Coldsnap","C","97","Red","Lightly Played","1"
"Gemstone Array","Fifth Dawn","U","","Colorless","Lightly Played","1"
"Retract","Darksteel","R","32","Blue","Lightly Played","1"
"Elvish Guidance","Onslaught","C","255","Green","Lightly Played","1"
"Exalted Angel","Onslaught","R","28","White","Lightly Played","1"
"Draco","Planeshift","R","131","Colorless","Lightly Played","1"
"Absolute Grace","Urza's Saga","U","1","White","Lightly Played","1"
"Animate Dead","Fifth Edition","U","2","Black","Lightly Played","1"
"Ashnod's Altar","Fifth Edition","U","","Colorless","Lightly Played","1"
"Animate Dead","Fourth Edition","U","2","Black","Lightly Played","1"
"Winter Orb","Fourth Edition","R","376","Colorless","Lightly Played","1"
"Goblin Chirurgeon (Foglio)","Fallen Empires","C","","Red","Lightly Played","1"
"Icatian Store","Fallen Empires","R","","","Lightly Played","1"
"Blanchwood Armor","Duels of the Planeswalkers","U","55","Green","Lightly Played","1"
"Forge of Heroes","Commander 2018","C","58","Colorless","Lightly Played","2"
"Arcane Lighthouse","Commander 2014","U","59","","Lightly Played","1"
"Mystical Tutor","Dominaria Remastered","R","60","Blue","Lightly Played","1"
"Urza, Lord High Artificer (Borderless)","Dominaria Remastered","M","423","Blue","Lightly Played","1"
"Great Unclean One","Universes Beyond: Warhammer 40,000","R","35","Black","Lightly Played","1"
"Abrupt Decay","Guilds of Ravnica: Guild Kits","R","57","Black;Green","Lightly Played","1"
"Elves of Deep Shadow","Guilds of Ravnica: Guild Kits","C","56","Green","Lightly Played","1"
"Doom Blade","Duel Decks: Nissa vs. Ob Nixilis","U","47","Black","Lightly Played","1"
"Undermine","Duel Decks: Ajani vs. Nicol Bolas","R","62","Black;Blue","Lightly Played","1"
"Utter End","Promo Pack: Ikoria","R","210","Black;White","Lightly Played","1"
"Blood Sun","Promo Pack: Core Set 2020","R","92","Red","Lightly Played","1"
"Frontier Siege","Fate Reforged","R","131","Green","Moderately Played","1"
"Master of Cruelties","Dragon's Maze","M","82","Black;Red","Moderately Played","1"
"Sire of Insanity","Dragon's Maze","R","104","Black;Red","Moderately Played","1"
"Zhur-Taa Ancient","Dragon's Maze","R","119","Green;Red","Moderately Played","1"
"Wirewood Channeler","Legions","U","144","Green","Moderately Played","2"
"Aurification","Onslaught","R","6","White","Moderately Played","2"
"Island (337)","Odyssey","L","337","","Moderately Played","1"
"Sky Diamond","Mirage","U","","Colorless","Moderately Played","1"
"Red Elemental Blast","Fourth Edition","C","","Red","Moderately Played","1"
"Goblin Warrens","Fallen Empires","R","","Red","Moderately Played","1"
"River Merfolk","Fallen Empires","R","","Blue","Moderately Played","1"
"Venser's Journal","Commander 2016","R","279","Colorless","Moderately Played","1"
"Upwelling","Scourge","R","131","Green","Heavily Played","1"
"Counterspell","Fifth Edition","C","77","Blue","Heavily Played","2"
"Gush","Duel Decks: Jace vs. Chandra","C","27","Blue","Heavily Played","1"
"Assimilate Essence","March of the Machine","C","47","Blue","Near Mint Foil","1"
"Botanical Brawler","March of the Machine","U","220","Green;White","Near Mint Foil","3"
"Disturbing Conversion","March of the Machine","C","54","Blue","Near Mint Foil","1"
"Monastery Mentor (Extended Art)","March of the Machine","M","347","White","Near Mint Foil","1"
"Vorinclex (Showcase)","March of the Machine","M","301","Green","Near Mint Foil","1"
"Brudiclad, Telchor Engineer","March of the Machine: Multiverse Legends","R","36","Blue;Red","Near Mint Foil","1"
"Zada, Hedron Grinder (Foil Etched)","March of the Machine: Multiverse Legends","U","90","Red","Near Mint Foil","1"
"Argentum Masticore (Extended Art)","Phyrexia: All Will Be One","R","393","Colorless","Near Mint Foil","1"
"Drivnod, Carnage Dominus (Oil Slick Raised Foil)","Phyrexia: All Will Be One","M","350","Black","Near Mint Foil","1"
"Malcator's Watcher","Phyrexia: All Will Be One","C","58","Blue","Near Mint Foil","1"
"Phyrexian Vindicator (Oil Slick Raised Foil)","Phyrexia: All Will Be One","M","347","White","Near Mint Foil","1"
"Prologue to Phyresis","Phyrexia: All Will Be One","C","65","Blue","Near Mint Foil","1"
"Scheming Aspirant","Phyrexia: All Will Be One","U","107","Black","Near Mint Foil","3"
"Thrun, Breaker of Silence","Phyrexia: All Will Be One","R","186","Green","Near Mint Foil","1"
"Terisian Mindbreaker","The Brothers' War","R","83","Colorless","Near Mint Foil","1"
"Quietus Spike","The Brothers' War: Retro Frame Artifacts","R","46","Colorless","Near Mint Foil","2"
"Skyclave Apparition (Extended Art)","Zendikar Rising","R","322","White","Near Mint Foil","3"
"Alora, Merry Thief (Foil Etched)","Commander Legends: Battle for Baldur's Gate","U","481","Blue","Near Mint Foil","1"
"Displacer Kitten (Extended Art)","Commander Legends: Battle for Baldur's Gate","R","560","Blue","Near Mint Foil","1"
"Iron Mastiff","Commander Legends: Battle for Baldur's Gate","U","317","Colorless","Near Mint Foil","1"
"Vexing Puzzlebox (Borderless)","Commander Legends: Battle for Baldur's Gate","M","374","Colorless","Near Mint Foil","1"
"Crow of Dark Tidings","Commander Legends","C","115","Black","Near Mint Foil","1"
"Wild Celebrants","Commander Legends","C","212","Red","Near Mint Foil","1"
"Ring of Barahir - Sword of the Animist","Commander: The Lord of the Rings: Tales of Middle-earth","M","355","Colorless","Near Mint Foil","1"
"Monumental Corruption (Extended Art)","Commander: Phyrexia: All Will Be One","R","34","Black","Near Mint Foil","2"
"Captured by Lagacs","Modern Horizons 2","C","188","Green;White","Near Mint Foil","1"
"Glimpse of Tomorrow (Retro Frame)","Modern Horizons 2","R","407","","Near Mint Foil","1"
"Monoskelion","Modern Horizons 2","U","229","Colorless","Near Mint Foil","1"
"Phantasmal Dreadmaw","Modern Horizons 2","C","55","Blue","Near Mint Foil","1"
"The Underworld Cookbook (Retro Frame) (Foil Etched)","Modern Horizons 2","U","434","Colorless","Near Mint Foil","1"
"Bilbo, Retired Burglar","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","196","Blue;Red","Near Mint Foil","1"
"Last March of the Ents (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","418","Green","Near Mint Foil","1"
"Storm of Saruman (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","413","Blue","Near Mint Foil","1"
"The One Ring","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","M","246","Colorless","Near Mint Foil","2"
"Danitha, Benalia's Hope","Prerelease Cards","R","15","White","Near Mint Foil","1"
"Jaheira's Respite","Prerelease Cards","R","238","Green","Near Mint Foil","1"
"Errant and Giada","Promo Pack: March of the Machine","R","224","Blue;White","Near Mint Foil","1"
"Forest (301) - JP Full Art","Kamigawa: Neon Dynasty","L","301","Colorless","Lightly Played Foil","1"
"Steel Overseer","Core Set 2020","R","239","Colorless","Lightly Played Foil","1"
"Shriek Raptor","New Phyrexia","C","","White","Lightly Played Foil","1"
"Cazur, Ruthless Stalker","Commander 2020","M","5","Green","Lightly Played Foil","1"
"Exploration (Borderless)","Double Masters","R","351","Green","Lightly Played Foil","1"
"Unmask","From the Vault: Lore","M","15","Black","Lightly Played Foil","1"
"Jenara, Asura of War","From the Vault: Angels","M","11","Blue;Green;White","Lightly Played Foil","1"
"Greater Auramancy","Judge Promos","P","1","White","Lightly Played Foil","1"
"Swamp (258)","Dominaria","L","258","Colorless","Moderately Played Foil","1"
"Leafcrown Dryad","Theros","C","161","Green","Moderately Played Foil","1"
"Bane of the Living","Legions","R","","Black","Moderately Played Foil","1"
"Jhoira of the Ghitu","Duel Decks: Mind vs. Might","M","1","Blue;Red","Moderately Played Foil","1"
"Dinomorphia Domain","Battle of Chaos","Secret Rare","BACH-EN068","","Near Mint 1st Edition","1"
"Toon Kingdom (Green)","Dragons of Legend: The Complete Series","Ultra Rare","DLCS-EN074","","Near Mint 1st Edition","1"
"Sky Striker Ace - Roze","2021 Tin of Ancient Battles","Prismatic Secret Rare","MP21-EN005","","Lightly Played 1st Edition","1"
"Garchomp","SM - Ultra Prism","Rare","99/156","","Near Mint","1"
"Honchkrow","XY - Phantom Forces","Rare","52/119","","Near Mint","1"
"Lampent","XY - Phantom Forces","Uncommon","42/119","","Near Mint","1"
"Lucky Egg","Arceus","Uncommon","88","","Near Mint","1"
"Ponyta (46)","Arceus","Uncommon","46","","Near Mint","1"
"Gabite","Supreme Victors","Uncommon","59","","Near Mint","1"
"Magikarp","Stormfront","Common","065/100","","Near Mint","1"
"Eevee (63)","Majestic Dawn","Common","063/100","","Near Mint","1"
"Fearow","Majestic Dawn","Uncommon","036/100","","Near Mint","1"
"Piplup","Diamond and Pearl","Common","093/130","","Near Mint","1"
"Aron","Power Keepers","Common","042/108","","Near Mint","1"
"Elekid (Delta Species)","Dragon Frontiers","Common","048/101","","Near Mint","1"
"Tropius (Delta Species)","Dragon Frontiers","Rare","023/101","","Near Mint","1"
"Grumpig","Crystal Guardians","Rare","020/100","","Near Mint","1"
"Dark Dragonair - 031/109","Team Rocket Returns","Uncommon","031/109","","Near Mint","1"
"Dark Golbat","Team Rocket Returns","Uncommon","034/109","","Near Mint","1"
"Ancient Tomb","Hidden Legends","Uncommon","087/101","","Near Mint","1"
"Diglett","Skyridge","Common","050/144","","Near Mint","1"
"Dark Omastar","Neo Destiny","Rare","019/105","","Near Mint Unlimited","1"
"Paras","Neo Revelation","Common","47/64","","Near Mint Unlimited","1"
"Parasect","Neo Revelation","Uncommon","35/64","","Near Mint Unlimited","1"
"Pokemon Breeder Fields","Neo Revelation","Uncommon","62/64","","Near Mint Unlimited","1"
"Quagsire","Neo Revelation","Common","48/64","","Near Mint Unlimited","1"
"Qwilfish","Neo Revelation","Common","49/64","","Near Mint Unlimited","1"
"Remoraid","Neo Revelation","Common","50/64","","Near Mint Unlimited","1"
"Rocket's Hideout","Neo Revelation","Uncommon","63/64","","Near Mint Unlimited","1"
"Seaking","Neo Revelation","Uncommon","37/64","","Near Mint Unlimited","1"
"Shuckle","Neo Revelation","Common","51/64","","Near Mint Unlimited","1"
"Skiploom","Neo Revelation","Common","52/64","","Near Mint Unlimited","1"
"Smoochum","Neo Revelation","Common","54/64","","Near Mint Unlimited","2"
"Snubbull","Neo Revelation","Common","55/64","","Near Mint Unlimited","2"
"Stantler","Neo Revelation","Uncommon","38/64","","Near Mint Unlimited","2"
"Staryu","Neo Revelation","Common","56/64","","Near Mint Unlimited","1"
"Unown [B]","Neo Revelation","Uncommon","39/64","","Near Mint Unlimited","1"
"Zubat","Neo Revelation","Common","59/64","","Near Mint Unlimited","1"
"Articuno (48)","WoTC Promo","Promo","48/53","","Near Mint","1"
"Electabuzz (Movie Promo)","WoTC Promo","Promo","02/53","","Near Mint","3"
"Empoleon","SM - Ultra Prism","Rare","34/156","","Lightly Played","1"
"Heat Rotom","SM - Ultra Prism","Rare","24/156","","Lightly Played","2"
"Snubbull","SM Base Set","Common","90/149","","Lightly Played","1"
"Crobat","XY - Phantom Forces","Rare","33/119","","Lightly Played","1"
"Dimension Valley","XY - Phantom Forces","Uncommon","93/119","","Lightly Played","1"
"Lampent","XY - Phantom Forces","Uncommon","42/119","","Lightly Played","1"
"Porygon","Plasma Blast","Common","72/101","","Lightly Played","1"
"Jellicent","Next Destinies","Rare","35/99","","Lightly Played","1"
"Pinsir","Next Destinies","Rare","1/99","","Lightly Played","1"
"Roggenrola (50)","Emerging Powers","Common","50/98","","Lightly Played","1"
"Patrat (77)","Black and White","Common","77/114","","Lightly Played","1"
"Spinarak","HeartGold SoulSilver","Common","83","","Lightly Played","1"
"Cherrim","Arceus","Rare","15","","Lightly Played","1"
"Eevee","Rising Rivals","Common","59","","Lightly Played","1"
"Flareon E4","Rising Rivals","Common","60","","Lightly Played","1"
"Leafeon","Rising Rivals","Uncommon","45","","Lightly Played","1"
"Gastly","Stormfront","Common","062/100","","Lightly Played","1"
"Machoke","Stormfront","Uncommon","041/100","","Lightly Played","1"
"Technical Machine TS-1","Legends Awakened","Uncommon","136/146","","Lightly Played","2"
"Eevee (63)","Majestic Dawn","Common","063/100","","Lightly Played","2"
"Bulbasaur","Secret Wonders","Common","077/132","","Lightly Played","1"
"Charmander","Secret Wonders","Common","082/132","","Lightly Played","1"
"Croconaw","Mysterious Treasures","Uncommon","044/123","","Lightly Played","1"
"Vulpix (Delta Species)","Dragon Frontiers","Common","070/101","","Lightly Played","1"
"Charmander","Crystal Guardians","Common","048/100","","Lightly Played","1"
"Charmander (Delta Species)","Crystal Guardians","Common","049/100","","Lightly Played","1"
"Hitmonlee","Unseen Forces","Rare","25/115","","Lightly Played","1"
"Camerupt","Emerald","Uncommon","023/106","","Lightly Played","1"
"Goldeen","Deoxys","Common","061/107","","Lightly Played","1"
"Ekans","Team Rocket Returns","Common","055/109","","Lightly Played","1"
"Barboach","Dragon","Common","051/097","","Lightly Played","1"
"Phanpy","Neo Destiny","Common","076/105","","Lightly Played Unlimited","1"
"Porygon","Neo Destiny","Common","078/105","","Lightly Played Unlimited","1"
"Piloswine","Neo Revelation","Uncommon","36/64","","Lightly Played Unlimited","1"
"Quagsire","Neo Revelation","Common","48/64","","Lightly Played Unlimited","1"
"Cubone","Base Set 2","Common","070/130","","Lightly Played","1"
"Nidorino","Base Set (Shadowless)","Uncommon","037/102","","Lightly Played 1st Edition","1"
"Full Heal","Base Set","Uncommon","082/102","","Lightly Played","1"
"Cleffa","WoTC Promo","Promo","31/53","","Lightly Played","1"
"Mewtwo (Movie Promo)","WoTC Promo","Promo","03/53","","Lightly Played","1"
"Scyther","WoTC Promo","Promo","45/53","","Lightly Played","1"
"Tapu Lele","SM - Ultra Prism","Rare","94/156","","Moderately Played","1"
"Porygon","XY - Ancient Origins","Common","64/98","","Moderately Played","1"
"Double Colorless Energy","XY - Phantom Forces","Uncommon","111/119","","Moderately Played","3"
"Houndour","Dragons Exalted","Common","74/124","","Moderately Played","1"
"Timburr (58)","Black and White","Common","58/114","","Moderately Played","1"
"Timburr (59)","Black and White","Common","59/114","","Moderately Played","1"
"Beautifly","Platinum","Rare","021/127","","Moderately Played","1"
"Arbok","Great Encounters","Uncommon","033/106","","Moderately Played","1"
"Darkness Energy","Diamond and Pearl","Common","129/130","","Moderately Played","1"
"Grotle","Diamond and Pearl","Uncommon","049/130","","Moderately Played","1"
"Machop","Power Keepers","Common","053/108","","Moderately Played","1"
"Ivysaur - 035/100","Crystal Guardians","Uncommon","035/100","","Moderately Played","1"
"Squirtle - 063/100","Crystal Guardians","Common","063/100","","Moderately Played","1"
"Krabby","FireRed & LeafGreen","Common","066/112","","Moderately Played","1"
"Corphish - 052/097","Dragon","Common","052/097","","Moderately Played","1"
"Blastoise (37)","Expedition","Rare","037/165","","Moderately Played","1"
"Magikarp","Base Set 2","Uncommon","050/130","","Moderately Played","1"
"Onix","Base Set 2","Common","084/130","","Moderately Played","1"
"Voltorb","Base Set","Common","067/102","","Moderately Played","1"
"Scizor","WoTC Promo","Promo","33/53","","Moderately Played","1"
"Duosion","Plasma Blast","Uncommon","43/101","","Near Mint Reverse Holofoil","1"
"Eevee - SWSH127","SWSH: Sword & Shield Promo Cards","Promo","SWSH127","","Near Mint Holofoil","1"
"Eevee - SWSH175","SWSH: Sword & Shield Promo Cards","Promo","SWSH175","","Near Mint Holofoil","1"
"Eiscue - SWSH128","SWSH: Sword & Shield Promo Cards","Promo","SWSH128","","Near Mint Holofoil","1"
"Broken Time-Space - 104/127 (League Promo)","League & Championship Cards","Promo","104/127","","Near Mint Reverse Holofoil","4"
"Dragonite - 119/181 (Cosmos Holo)","Miscellaneous Cards & Products","Promo","119/181","","Near Mint Holofoil","1"
"Drampa","SWSH01: Sword & Shield Base Set","Rare","149/202","","Lightly Played Reverse Holofoil","2"
"Dugtrio","SM - Unbroken Bonds","Rare","86/214","","Lightly Played Reverse Holofoil","1"
"Tynamo","SM - Burning Shadows","Common","44/147","","Lightly Played Reverse Holofoil","1"
"Gothorita","Boundaries Crossed","Uncommon","76/149","","Lightly Played Reverse Holofoil","1"
"Hisuian Arcanine","SWSH10: Astral Radiance","Rare","071/189","","Moderately Played Reverse Holofoil","1"
"Eevee (48)","Hidden Fates","Holo Rare","48/68","","Moderately Played Holofoil","1"
"Alakazam","Mysterious Treasures","Holo Rare","002/123","","Moderately Played Holofoil","1"
